,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
513,Continuous Subarray Sum,continuous-subarray-sum,"Given an integer array nums and an integer k, return true if nums has a continuous subarray of size at least two whose elements sum up to a multiple of k, or false otherwise. An integer x is a multiple of k if there exists an integer n such that x = n * k. 0 is always a multiple of k. ","Array,Hash Table,Math,Prefix Sum",Medium,27.2,1047671.0,285001.0,1762.0,245.0,,"560,2119,2240","Subarray Sum Equals K,Minimum Number of Operations to Make Array Continuous,Intervals Between Identical Elements",,,,,
514,Longest Word in Dictionary through Deleting,longest-word-in-dictionary-through-deleting,"Given a string s and a string array dictionary, return the longest string in the dictionary that can be formed by deleting some of the given string characters. If there is more than one possible result, return the longest word with the smallest lexicographical order. If there is no possible result, return the empty string. ","Array,Two Pointers,String,Sorting",Medium,50.9,245280.0,124739.0,1308.0,329.0,,720,Longest Word in Dictionary,,,,,
515,Contiguous Array,contiguous-array,"Given a binary array nums, return the maximum length of a contiguous subarray with an equal number of 0 and 1. ","Array,Hash Table,Prefix Sum",Medium,46.3,558046.0,258336.0,5250.0,227.0,,325,Maximum Size Subarray Sum Equals k,,,,,
516,Beautiful Arrangement,beautiful-arrangement,"Suppose you have n integers labeled 1 through n. A permutation of those n integers perm (1-indexed) is considered a beautiful arrangement if for every i (1 <= i <= n), either of the following is true: Given an integer n, return the number of the beautiful arrangements that you can construct. ","Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Medium,64.3,198648.0,127756.0,2108.0,285.0,,667,Beautiful Arrangement II,,,,,
517,Word Abbreviation,word-abbreviation,,"Array,String,Greedy,Trie,Sorting",Hard,58.2,37374.0,21743.0,295.0,201.0,,"408,411","Valid Word Abbreviation,Minimum Unique Word Abbreviation",,,,,
518,Swapping Nodes in a Linked List,swapping-nodes-in-a-linked-list,"You are given the head of a linked list, and an integer k. Return the head of the linked list after swapping the values of the kth node from the beginning and the kth node from the end (the list is 1-indexed). ","Linked List,Two Pointers",Medium,68.4,229189.0,156841.0,2691.0,100.0,We can transform the linked list to an array this should ease things up After transforming the linked list to an array it becomes as easy as swapping two integers in an array then rebuilding the linked list,"19,24,25","Remove Nth Node From End of List,Swap Nodes in Pairs,Reverse Nodes in k-Group",,,,,
519,Minesweeper,minesweeper,"Let's play the minesweeper game (Wikipedia, online game)! You are given an m x n char matrix board representing the game board where: You are also given an integer array click where click = [clickr, clickc] represents the next click position among all the unrevealed squares ('M' or 'E'). Return the board after revealing this position according to the following rules: ","Array,Depth-First Search,Breadth-First Search,Matrix",Medium,64.6,177100.0,114403.0,1367.0,856.0,,2206,Detonate the Maximum Bombs,,,,,
520,Minimum Absolute Difference in BST,minimum-absolute-difference-in-bst,"Given the root of a Binary Search Tree (BST), return the minimum absolute difference between the values of any two different nodes in the tree. ","Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree",Easy,56.2,273418.0,153691.0,1994.0,117.0,,532,K-diff Pairs in an Array,,,,,
521,Lonely Pixel I,lonely-pixel-i,,"Array,Hash Table,Matrix",Medium,60.7,50446.0,30598.0,298.0,35.0,,533,Lonely Pixel II,,,,,
522,K-diff Pairs in an Array,k-diff-pairs-in-an-array,"Given an array of integers nums and an integer k, return the number of unique k-diff pairs in the array. A k-diff pair is an integer pair (nums[i], nums[j]), where the following are true: Notice that |val| denotes the absolute value of val. ","Array,Hash Table,Two Pointers,Binary Search,Sorting",Medium,40.1,625811.0,250865.0,2553.0,2046.0,,"530,2116,2150","Minimum Absolute Difference in BST,Count Number of Pairs With Absolute Difference K,Kth Smallest Product of Two Sorted Arrays",,,,,
523,Lonely Pixel II,lonely-pixel-ii,,"Array,Hash Table,Matrix",Medium,48.3,24738.0,11958.0,72.0,677.0,,531,Lonely Pixel I,,,,,
524,Encode and Decode TinyURL,encode-and-decode-tinyurl,TinyURL is a URL shortening service where you enter a URL such as https://leetcode.com/problems/design-tinyurl and it returns a short URL such as http://tinyurl.com/4e9iAk. Design a class to encode a URL and decode a tiny URL. There is no restriction on how your encode/decode algorithm should work. You just need to ensure that a URL can be encoded to a tiny URL and the tiny URL can be decoded to the original URL. Implement the Solution class: ,"Hash Table,String,Design,Hash Function",Medium,83.5,198307.0,165512.0,1156.0,2208.0,,,,,,,,
525,Construct Binary Tree from String,construct-binary-tree-from-string,,"String,Tree,Depth-First Search,Binary Tree",Medium,55.8,135136.0,75369.0,899.0,146.0,,606,Construct String from Binary Tree,,,,,
526,Complex Number Multiplication,complex-number-multiplication,"A complex number can be represented as a string on the form ""real+imaginaryi"" where: Given two complex numbers num1 and num2 as strings, return a string of the complex number that represents their multiplications. ","Math,String,Simulation",Medium,71.1,113274.0,80542.0,503.0,1123.0,,,,,,,,
527,Convert BST to Greater Tree,convert-bst-to-greater-tree,"Given the root of a Binary Search Tree (BST), convert it to a Greater Tree such that every key of the original BST is changed to the original key plus the sum of all keys greater than the original key in BST. As a reminder, a binary search tree is a tree that satisfies these constraints: ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,65.4,346698.0,226818.0,4014.0,158.0,,,,,,,,
528,Minimum Time Difference,minimum-time-difference,,"Array,Math,String,Sorting",Medium,54.7,153278.0,83767.0,1005.0,199.0,,2266,Minimum Cost to Set Cooking Time,,,,,
529,Single Element in a Sorted Array,single-element-in-a-sorted-array,"You are given a sorted array consisting of only integers where every element appears exactly twice, except for one element which appears exactly once. Return the single element that appears only once. Your solution must run in O(log n) time and O(1) space. ","Array,Binary Search",Medium,58.7,484707.0,284425.0,4963.0,111.0,,,,,,,,
530,Reverse String II,reverse-string-ii,"Given a string s and an integer k, reverse the first k characters for every 2k characters counting from the start of the string. If there are fewer than k characters left, reverse all of them. If there are less than 2k but greater than or equal to k characters, then reverse the first k characters and leave the other as original. ","Two Pointers,String",Easy,50.1,297991.0,149401.0,952.0,2363.0,,"344,557","Reverse String,Reverse Words in a String III",,,,,
531,01 Matrix,01-matrix,"Given an m x n binary matrix mat, return the distance of the nearest 0 for each cell. The distance between two adjacent cells is 1. ","Array,Dynamic Programming,Breadth-First Search,Matrix",Medium,43.8,534554.0,233903.0,4442.0,221.0,,"550,2259","Shortest Path to Get Food,Minimum Operations to Remove Adjacent Ones in Matrix",,,,,
532,Diameter of Binary Tree,diameter-of-binary-tree,"Given the root of a binary tree, return the length of the diameter of the tree. The diameter of a binary tree is the length of the longest path between any two nodes in a tree. This path may or may not pass through the root. The length of a path between two nodes is represented by the number of edges between them. ","Tree,Depth-First Search,Binary Tree",Easy,54.1,1310070.0,708322.0,7587.0,481.0,,1665,Diameter of N-Ary Tree,,,,,
533,Output Contest Matches,output-contest-matches,,"String,Recursion,Simulation",Medium,76.5,32253.0,24659.0,356.0,115.0,,,,,,,,
534,Boundary of Binary Tree,boundary-of-binary-tree,,"Tree,Depth-First Search,Binary Tree",Medium,43.1,228707.0,98538.0,1036.0,1680.0,,199,Binary Tree Right Side View,,,,,
535,Remove Boxes,remove-boxes,"You are given several boxes with different colors represented by different positive numbers. You may experience several rounds to remove boxes until there is no box left. Each time you can choose some continuous boxes with the same color (i.e., composed of k boxes, k >= 1), remove them and get k * k points. Return the maximum points you can get. ","Array,Dynamic Programming,Memoization",Hard,47.3,71483.0,33844.0,1491.0,92.0,,"664,2247","Strange Printer,Number of Unique Flavors After Sharing K Candies",,,,,
536,Number of Provinces,number-of-provinces,"There are n cities. Some of them are connected, while some are not. If city a is connected directly with city b, and city b is connected directly with city c, then city a is connected indirectly with city c. A province is a group of directly or indirectly connected cities and no other cities outside of the group. You are given an n x n matrix isConnected where isConnected[i][j] = 1 if the ith city and the jth city are directly connected, and isConnected[i][j] = 0 otherwise. Return the total number of provinces. ","Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,62.6,713510.0,446459.0,4990.0,235.0,,"323,657,734,737,1085,2206","Number of Connected Components in an Undirected Graph,Robot Return to Origin,Sentence Similarity,Sentence Similarity II,The Earliest Moment When Everyone Become Friends,Detonate the Maximum Bombs",,,,,
537,Split Array with Equal Sum,split-array-with-equal-sum,,"Array,Prefix Sum",Hard,49.8,44249.0,22021.0,382.0,126.0,,1678,Number of Ways to Split a String,,,,,
538,Binary Tree Longest Consecutive Sequence II,binary-tree-longest-consecutive-sequence-ii,,"Tree,Depth-First Search,Binary Tree",Medium,48.6,86574.0,42036.0,899.0,72.0,,"298,1416","Binary Tree Longest Consecutive Sequence,Check if an Array Is Consecutive",,,,,
539,Shortest Path to Get Food,shortest-path-to-get-food,,"Array,Breadth-First Search,Matrix",Medium,54.3,53077.0,28812.0,361.0,16.0,"Run BFS starting from the '*' position. Keep the current number of the steps as a state in the queue. The first time you reach a food, return the number of steps as the answer. In case the queue is empty and you still did not manage to reach a food, return -1.","542,1414","01 Matrix,Shortest Path in a Grid with Obstacles Elimination",,,,,
540,Student Attendance Record I,student-attendance-record-i,"You are given a string s representing an attendance record for a student where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters: The student is eligible for an attendance award if they meet both of the following criteria: Return true if the student is eligible for an attendance award, or false otherwise. ",String,Easy,47.6,297556.0,141541.0,285.0,16.0,,552,Student Attendance Record II,,,,,
541,Student Attendance Record II,student-attendance-record-ii,"An attendance record for a student can be represented as a string where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters: Any student is eligible for an attendance award if they meet both of the following criteria: Given an integer n, return the number of possible attendance records of length n that make a student eligible for an attendance award. The answer may be very large, so return it modulo 109 + 7. ",Dynamic Programming,Hard,40.5,113522.0,45966.0,1159.0,196.0,,551,Student Attendance Record I,,,,,
542,Optimal Division,optimal-division,"You are given an integer array nums. The adjacent integers in nums will perform the float division. However, you can add any number of parenthesis at any position to change the priority of operations. You want to add these parentheses such the value of the expression after the evaluation is maximum. Return the corresponding expression that has the maximum value in string format. Note: your expression should not contain redundant parenthesis. ","Array,Math,Dynamic Programming",Medium,59.0,53447.0,31520.0,265.0,1380.0,,,,,,,,
543,Brick Wall,brick-wall,"There is a rectangular brick wall in front of you with n rows of bricks. The ith row has some number of bricks each of the same height (i.e., one unit) but they can be of different widths. The total width of each row is the same. Draw a vertical line from the top to the bottom and cross the least bricks. If your line goes through the edge of a brick, then the brick is not considered as crossed. You cannot draw a line just along one of the two vertical edges of the wall, in which case the line will obviously cross no bricks. Given the 2D array wall that contains the information about the wall, return the minimum number of crossed bricks after drawing such a vertical line. ","Array,Hash Table",Medium,52.6,189678.0,99768.0,1789.0,101.0,,2322,Number of Ways to Build Sturdy Brick Wall,,,,,
544,Split Concatenated Strings,split-concatenated-strings,,"Array,String,Greedy",Medium,43.2,13680.0,5912.0,62.0,238.0,,,,,,,,
545,Next Greater Element III,next-greater-element-iii,"Given a positive integer n, find the smallest integer which has exactly the same digits existing in the integer n and is greater in value than n. If no such positive integer exists, return -1. Note that the returned integer should fit in 32-bit integer, if there is a valid answer but it does not fit in 32-bit integer, return -1. ","Math,Two Pointers,String",Medium,33.8,285936.0,96588.0,2171.0,342.0,,"496,503,1997","Next Greater Element I,Next Greater Element II,Next Palindrome Using Same Digits",,,,,
546,Reverse Words in a String III,reverse-words-in-a-string-iii,"Given a string s, reverse the order of characters in each word within a sentence while still preserving whitespace and initial word order. ","Two Pointers,String",Easy,78.5,548465.0,430729.0,2698.0,160.0,,541,Reverse String II,,,,,
547,Subarray Sum Equals K,subarray-sum-equals-k,"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k. ","Array,Hash Table,Prefix Sum",Medium,44.2,1715764.0,758711.0,12822.0,409.0,"Will Brute force work here? Try to optimize it. Can we optimize it by using some extra space? What about storing sum frequencies in a hash table? Will it be useful? sum(i,j)=sum(0,j)-sum(0,i), where sum(i,j) represents the sum of all the elements from index i to j-1.

Can we use this property to optimize it.","1,523,713,724,1016,1776,2211,2369","Two Sum,Continuous Subarray Sum,Subarray Product Less Than K,Find Pivot Index,Subarray Sums Divisible by K,Minimum Operations to Reduce X to Zero,K Radius Subarray Averages,Maximum Sum Score of Array",,,,,
548,Array Partition I,array-partition-i,"Given an integer array nums of 2n integers, group these integers into n pairs (a1, b1), (a2, b2), ..., (an, bn) such that the sum of min(ai, bi) for all i is maximized. Return the maximized sum. ","Array,Greedy,Sorting,Counting Sort",Easy,75.6,427183.0,322789.0,780.0,132.0,"Obviously, brute force won't help here. Think of something else, take some example like 1,2,3,4. How will you make pairs to get the result? There must be some pattern. Did you observe that- Minimum element gets add into the result in sacrifice of maximum element. Still won't able to find pairs? Sort the array and try to find the pattern.","2112,2248,2261","Minimum Difference Between Highest and Lowest of K Scores,Minimum Cost of Buying Candies With Discount,All Divisions With the Highest Score of a Binary Array",,,,,
549,Longest Line of Consecutive One in Matrix,longest-line-of-consecutive-one-in-matrix,,"Array,Dynamic Programming,Matrix",Medium,49.1,117977.0,57914.0,695.0,97.0,One solution is to count ones in each direction separately and find the longest line. Don't you think  it will take too much lines of code? Is it possible to use some extra space to make the solution simple? Can we use dynamic programming to make use of intermediate results? Think of a 3D array which can be used to store the longest line obtained so far for each direction.,,,,,,,
550,Binary Tree Tilt,binary-tree-tilt,"Given the root of a binary tree, return the sum of every tree node's tilt. The tilt of a tree node is the absolute difference between the sum of all left subtree node values and all right subtree node values. If a node does not have a left child, then the sum of the left subtree node values is treated as 0. The rule is similar if the node does not have a right child. ","Tree,Depth-First Search,Binary Tree",Easy,58.5,282699.0,165284.0,1601.0,1903.0,"Don't think too much, this is an easy problem. Take some small tree as an example. Can a parent node use the values of its child nodes? How will you implement it? May be recursion and tree traversal can help you in implementing. What about postorder traversal, using values of left and right childs?",1609,Find All The Lonely Nodes,,,,,
551,Find the Closest Palindrome,find-the-closest-palindrome,"Given a string n representing an integer, return the closest integer (not including itself), which is a palindrome. If there is a tie, return the smaller one. The closest is defined as the absolute difference minimized between two integers. ","Math,String",Hard,21.2,145985.0,31011.0,474.0,1117.0,"Will brute force work for this problem? Think of something else. Take some examples like 1234, 999,1000, etc and check their closest palindromes. How many different cases are possible? Do we have to consider only left half or right half of the string or both? Try to find the closest palindrome of these numbers- 12932, 99800, 12120. Did you observe something?","1375,1997","Find Palindrome With Fixed Length,Next Palindrome Using Same Digits",,,,,
552,Array Nesting,array-nesting,"You are given an integer array nums of length n where nums is a permutation of the numbers in the range [0, n - 1]. You should build a set s[k] = {nums[k], nums[nums[k]], nums[nums[nums[k]]], ... } subjected to the following rule: Return the longest length of a set s[k]. ","Array,Depth-First Search",Medium,56.3,200038.0,112566.0,1833.0,138.0,,"339,341,364","Nested List Weight Sum,Flatten Nested List Iterator,Nested List Weight Sum II",,,,,
553,Reshape the Matrix,reshape-the-matrix,"In MATLAB, there is a handy function called reshape which can reshape an m x n matrix into a new one with a different size r x c keeping its original data. You are given an m x n matrix mat and two integers r and c representing the number of rows and the number of columns of the wanted reshaped matrix. The reshaped matrix should be filled with all the elements of the original matrix in the same row-traversing order as they were. If the reshape operation with given parameters is possible and legal, output the new reshaped matrix; Otherwise, output the original matrix. ","Array,Matrix,Simulation",Easy,62.4,365645.0,228101.0,2155.0,243.0,"Do you know how 2d matrix is stored in 1d memory? Try to map 2-dimensions into one. M[i][j]=M[n*i+j] , where n is the number of cols. 
This is the one way of converting 2-d indices into one 1-d index.  
Now, how will you convert 1-d index into 2-d indices? Try to use division and modulus to convert 1-d index into 2-d indices. M[i] =>  M[i/n][i%n] Will it result in right mapping? Take some example and check this formula.",2132,Convert 1D Array Into 2D Array,,,,,
554,Permutation in String,permutation-in-string,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. In other words, return true if one of s1's permutations is the substring of s2. ","Hash Table,Two Pointers,String,Sliding Window",Medium,44.8,824372.0,369629.0,5663.0,164.0,"Obviously, brute force will result in TLE. Think of something else. How will you check whether one string is a permutation of another string? One way is to sort the string and then compare. But, Is there a better way? If one string is a permutation of another string then they must one common metric. What is that? Both strings must have same character frequencies, if  one is permutation of another. Which data structure should be used to store frequencies? What about hash table?  An array of size 26?","76,438","Minimum Window Substring,Find All Anagrams in a String",,,,,
555,Maximum Vacation Days,maximum-vacation-days,,"Array,Dynamic Programming,Matrix",Hard,44.3,75981.0,33686.0,502.0,92.0,First try to understand the problem carefully and then take some example and solve it on a paper. Can you interpret the given input as a graph? Which graph traversal technique is suitable here? Can we use some space to avoid redundant function calls?,803,Cheapest Flights Within K Stops,,,,,
556,Median Employee Salary,median-employee-salary,,Database,Hard,66.6,40172.0,26766.0,228.0,124.0,"Still remember how to select the sum which group by one column? Try to think about how to get the median from a sorted list. How to get the median one item for odd number list while how to get the median two items for even number list, try to unify them.",571,Find Median Given Frequency of Numbers,,,,,
557,Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,,Database,Medium,66.9,85217.0,57047.0,218.0,31.0,"Try to get all the mangerIDs that have count bigger than 5 Use the last hint's result as a table and do join with origin table at id equals to managerId This is a very good example to show the performance of SQL code. Try to work out other solutions and you may be surprised by running time difference. If your solution uses 'IN' function and runs more than 5 seconds, try to optimize it by using 'JOIN' instead.",,,,,,,
558,Find Median Given Frequency of Numbers,find-median-given-frequency-of-numbers,,Database,Hard,44.5,41801.0,18601.0,221.0,63.0,,569,Median Employee Salary,,,,,
559,Subtree of Another Tree,subtree-of-another-tree,"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise. A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself. ","Tree,Depth-First Search,String Matching,Binary Tree,Hash Function",Easy,45.3,996628.0,451495.0,5105.0,265.0,"Which approach is better here- recursive or iterative? If recursive approach is better, can you write recursive function with its parameters? Two trees s and t are said to be identical if their root values are same and their left and right subtrees are identical. Can you write this in form of recursive formulae? Recursive formulae can be: 
isIdentical(s,t)= s.val==t.val AND isIdentical(s.left,t.left) AND isIdentical(s.right,t.right)","250,508","Count Univalue Subtrees,Most Frequent Subtree Sum",,,,,
560,Squirrel Simulation,squirrel-simulation,,"Array,Math",Medium,54.6,30992.0,16937.0,306.0,33.0,"Will Brute force solution works here? What will be its complexity? Brute force definitely won't work here. Think of some simple solution. Take some example and make some observations. Will order of nuts traversed by squirrel is important or only first nut traversed by squirrel is important? Are there some paths which squirrel have to cover in any case? If yes, what are they? Did you notice only first nut traversed by squirrel matters? Obviously squirrel will choose first nut which will result in minimum distance.",,,,,,,
561,Winning Candidate,winning-candidate,,Database,Medium,58.2,78268.0,45527.0,127.0,381.0,,,,,,,,
562,Distribute Candies,distribute-candies,"Alice has n candies, where the ith candy is of type candyType[i]. Alice noticed that she started to gain weight, so she visited a doctor. The doctor advised Alice to only eat n / 2 of the candies she has (n is always even). Alice likes her candies very much, and she wants to eat the maximum number of different types of candies while still following the doctor's advice. Given the integer array candyType of length n, return the maximum number of different types of candies she can eat if she only eats n / 2 of them. ","Array,Hash Table",Easy,65.6,308181.0,202137.0,936.0,1147.0,"To maximize the number of kinds of candies, we should try to distribute candies such that sister will gain all kinds. What is the upper limit of the number of kinds of candies sister will gain? Remember candies are to distributed equally. Which data structure is the most suitable for finding the number of kinds of candies? Will hashset solves the problem? Inserting all candies kind in the hashset and then checking its size with upper limit.",,,,,,,
563,Out of Boundary Paths,out-of-boundary-paths,"There is an m x n grid with a ball. The ball is initially at the position [startRow, startColumn]. You are allowed to move the ball to one of the four adjacent cells in the grid (possibly out of the grid crossing the grid boundary). You can apply at most maxMove moves to the ball. Given the five integers m, n, maxMove, startRow, startColumn, return the number of paths to move the ball out of the grid boundary. Since the answer can be very large, return it modulo 109 + 7. ",Dynamic Programming,Medium,40.1,157850.0,63268.0,1475.0,182.0,"Is traversing every path feasible? There are many possible paths for a small matrix. Try to optimize it. Can we use some space to store the number of paths and update them after every move? One obvious thing: the ball will go out of the boundary only by crossing it. Also, there is only one possible way the ball can go out of the boundary from the boundary cell except for corner cells. From the corner cell, the ball can go out in two different ways.

Can you use this thing to solve the problem?","688,2239","Knight Probability in Chessboard,Execution of All Suffix Instructions Staying in a Grid",,,,,
564,Employee Bonus,employee-bonus,,Database,Easy,74.7,77789.0,58105.0,159.0,89.0,"If the EmpId in table Employee has no match in table Bonus, we consider that the corresponding bonus is null and null is smaller than 1000. Inner join is the default join, we can solve the mismatching problem by using outer join.",175,Combine Two Tables,,,,,
565,Get Highest Answer Rate Question,get-highest-answer-rate-question,,Database,Medium,42.9,92016.0,39469.0,86.0,809.0,Try to find all question ids by group Try to find each group answer number and show number. Rank all the rates (answer/(answer+show)) and return the max one,,,,,,,
566,Find Cumulative Salary of an Employee,find-cumulative-salary-of-an-employee,,Database,Hard,42.8,59875.0,25635.0,173.0,375.0,"Seem hard at first glance? Try to divide this problem into some sub-problems. 
Think about how to calculate the cumulative sum of one employee, how to get the cumulative sum for many employees, and how to except the most recent month of the result. Use the technique of self-join if you have only one table but to write a complex query. Still remember how to use the function `sum` and `max`?",,,,,,,
567,Count Student Number in Departments,count-student-number-in-departments,,Database,Medium,56.5,77484.0,43811.0,184.0,30.0,Still remember the difference between 'INNER JOIN' and 'OUTTER JOIN' in SQL? Do you know other expressions using the 'COUNT' function besides 'COUNT(*)'?,,,,,,,
568,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,"Given an integer array nums, you need to find one continuous subarray that if you only sort this subarray in ascending order, then the whole array will be sorted in ascending order. Return the shortest such subarray and output its length. ","Array,Two Pointers,Stack,Greedy,Sorting,Monotonic Stack",Medium,34.2,631258.0,215582.0,4950.0,201.0,,,,,,,,
569,Kill Process,kill-process,,"Array,Hash Table,Tree,Depth-First Search,Breadth-First Search",Medium,66.9,97653.0,65300.0,886.0,17.0,,,,,,,,
570,Delete Operation for Two Strings,delete-operation-for-two-strings,"Given two strings word1 and word2, return the minimum number of steps required to make word1 and word2 the same. In one step, you can delete exactly one character in either string. ","String,Dynamic Programming",Medium,55.7,203295.0,113212.0,2708.0,45.0,,"72,712,1250","Edit Distance,Minimum ASCII Delete Sum for Two Strings,Longest Common Subsequence",,,,,
571,Find Customer Referee,find-customer-referee,Table: Customer  Write an SQL query to report the IDs of the customer that are not referred by the customer with id = 2. Return the result table in any order. The query result format is in the following example. ,Database,Easy,77.0,78389.0,60330.0,198.0,113.0,Be careful of the NULL value,,,,,,,
572,Investments in 2016,investments-in-2016,,Database,Medium,55.0,58357.0,32099.0,192.0,200.0,"Make the (LAT, LON) a pair to represent the location information",,,,,,,
573,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Table: Orders  Write an SQL query to find the customer_number for the customer who has placed the largest number of orders. The test cases are generated so that exactly one customer will have placed more orders than any other customer. The query result format is in the following example. ,Database,Easy,74.3,92168.0,68512.0,235.0,21.0,MySQL uses a different expression to get the first records other than MSSQL's TOP expression.,,,,,,,
574,Erect the Fence,erect-the-fence,"You are given an array trees where trees[i] = [xi, yi] represents the location of a tree in the garden. You are asked to fence the entire garden using the minimum length of rope as it is expensive. The garden is well fenced only if all the trees are enclosed. Return the coordinates of trees that are exactly located on the fence perimeter. ","Array,Math,Geometry",Hard,43.2,55809.0,24131.0,550.0,344.0,,2074,Erect the Fence II,,,,,
575,Design In-Memory File System,design-in-memory-file-system,,"Hash Table,String,Design,Trie",Hard,48.3,130148.0,62873.0,1042.0,123.0,,"146,460,635","LRU Cache,LFU Cache,Design Log Storage System",,,,,
576,Tag Validator,tag-validator,"Given a string representing a code snippet, implement a tag validator to parse the code and return whether it is valid. A code snippet is valid if all the following rules hold: ","String,Stack",Hard,36.4,30498.0,11096.0,130.0,560.0,,616,Add Bold Tag in String,,,,,
577,Fraction Addition and Subtraction,fraction-addition-and-subtraction,"Given a string expression representing an expression of fraction addition and subtraction, return the calculation result in string format. The final result should be an irreducible fraction. If your final result is an integer, change it to the format of a fraction that has a denominator 1. So in this case, 2 should be converted to 2/1. ","Math,String,Simulation",Medium,51.7,55560.0,28714.0,303.0,435.0,,640,Solve the Equation,,,,,
578,Valid Square,valid-square,"Given the coordinates of four points in 2D space p1, p2, p3 and p4, return true if the four points construct a square. The coordinate of a point pi is represented as [xi, yi]. The input is not given in any order. A valid square has four equal sides with positive length and four equal angles (90-degree angles). ","Math,Geometry",Medium,43.8,186845.0,81890.0,674.0,739.0,,,,,,,,
579,Longest Harmonious Subsequence,longest-harmonious-subsequence,"We define a harmonious array as an array where the difference between its maximum value and its minimum value is exactly 1. Given an integer array nums, return the length of its longest harmonious subsequence among all its possible subsequences. A subsequence of array is a sequence that can be derived from the array by deleting some or no elements without changing the order of the remaining elements. ","Array,Hash Table,Sorting",Easy,52.6,217843.0,114669.0,1522.0,151.0,,,,,,,,
580,Big Countries,big-countries,"Table: World  A country is big if: Write an SQL query to report the name, population, and area of the big countries. Return the result table in any order. The query result format is in the following example. ",Database,Easy,77.3,355541.0,274906.0,778.0,896.0,,,,,,,,
581,Classes More Than 5 Students,classes-more-than-5-students,Table: Courses  Write an SQL query to report all the classes that have at least five students. Return the result table in any order. The query result format is in the following example. ,Database,Easy,42.4,369293.0,156624.0,429.0,907.0,,,,,,,,
582,Friend Requests I: Overall Acceptance Rate,friend-requests-i-overall-acceptance-rate,,Database,Easy,42.6,133759.0,57020.0,235.0,581.0,Still remember how to count the number of rows in a table? What is the keyword to filter the duplicated records in a table?,,,,,,,
583,Range Addition II,range-addition-ii,"You are given an m x n matrix M initialized with all 0's and an array of operations ops, where ops[i] = [ai, bi] means M[x][y] should be incremented by one for all 0 <= x < ai and 0 <= y < bi. Count and return the number of maximum integers in the matrix after performing all the operations. ","Array,Math",Easy,54.7,141345.0,77261.0,649.0,803.0,,370,Range Addition,,,,,
584,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,"Suppose Andy and Doris want to choose a restaurant for dinner, and they both have a list of favorite restaurants represented by strings. You need to help them find out their common interest with the least list index sum. If there is a choice tie between answers, output all of them with no order requirement. You could assume there always exists an answer. ","Array,Hash Table,String",Easy,52.8,279803.0,147774.0,1170.0,318.0,,160,Intersection of Two Linked Lists,,,,,
585,Non-negative Integers without Consecutive Ones,non-negative-integers-without-consecutive-ones,"Given a positive integer n, return the number of the integers in the range [0, n] whose binary representations do not contain consecutive ones. ",Dynamic Programming,Hard,38.8,78458.0,30430.0,1055.0,114.0,,"198,213,474","House Robber,House Robber II,Ones and Zeroes",,,,,
586,Human Traffic of Stadium,human-traffic-of-stadium,"Table: Stadium  Write an SQL query to display the records with three or more rows with consecutive id's, and the number of people is greater than or equal to 100 for each. Return the result table ordered by visit_date in ascending order. The query result format is in the following example. ",Database,Hard,49.5,122010.0,60401.0,338.0,480.0,,,,,,,,
587,Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,,Database,Medium,60.7,79962.0,48563.0,248.0,73.0,"Being friends is bidirectional. If you accept someone's adding friend request, both you and the other person will have one more friend.",,,,,,,
588,Consecutive Available Seats,consecutive-available-seats,,Database,Easy,67.8,80558.0,54624.0,456.0,40.0,,,,,,,,
589,Design Compressed String Iterator,design-compressed-string-iterator,,"Array,Hash Table,String,Design,Iterator",Easy,39.1,66766.0,26081.0,358.0,124.0,,"146,443","LRU Cache,String Compression",,,,,
590,Can Place Flowers,can-place-flowers,"You have a long flowerbed in which some of the plots are planted, and some are not. However, flowers cannot be planted in adjacent plots. Given an integer array flowerbed containing 0's and 1's, where 0 means empty and 1 means not empty, and an integer n, return if n new flowers can be planted in the flowerbed without violating the no-adjacent-flowers rule. ","Array,Greedy",Easy,33.1,874930.0,289310.0,2857.0,641.0,,"495,735","Teemo Attacking,Asteroid Collision",,,,,
